,age,gender,smile,mood,attention,distance
2467,32,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.53
2468,32,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.51
2529,21,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.68
2532,31,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN_LEFT,0.37
2533,28,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.2
2567,33,MALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.5
2585,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.94
2586,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.7
2587,11,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.98
2588,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_LEFT,1.06
2589,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.85
2590,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.82
2591,11,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN_LEFT,0.82
2593,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.67
2594,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.51
2595,11,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.66
2596,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.66
2597,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.51
2599,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.68
2600,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.87
2601,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_UP,0.68
2602,11,FEMALE,SMILING,NEGATIVE,LOOKING_DOWN,0.57
2604,13,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.13
2606,13,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.68
2608,28,MALE,NOT_SMILING,NEUTRAL,LOOKING_UP_LEFT,1.12
2609,28,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.16
2610,28,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.64
2611,28,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.92
2612,28,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.89
2630,9,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.49
2631,9,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.54
2633,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.57
2634,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.53
2635,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.6
2643,13,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_LEFT,0.58
2705,38,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.14
2874,29,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.73
2961,14,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.5
2963,11,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN_RIGHT,0.5
2984,16,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.85
3030,13,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.51
3032,13,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.52
3043,30,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.69
3075,14,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.53
3118,15,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.44
3134,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.42
3136,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.46
3141,23,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.95
3143,23,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.7
3145,23,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.68
3169,21,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.89
3173,11,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,1.06
3175,8,MALE,SMILING,POSITIVE,LOOKING_DOWN,1.1
3185,25,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.6
3191,14,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.68
3193,13,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.66
3269,13,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.49
3273,13,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.59
3277,13,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.46
3279,13,FEMALE,SMILING,NEGATIVE,LOOKING_DOWN,0.43
3285,13,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.44
3287,13,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.4
3289,13,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.53
3291,13,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.6
3303,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.05
3307,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.59
3309,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,0.75
3517,12,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.51
3519,12,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.59
3523,12,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.38
3527,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_LEFT,0.55
3626,22,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN_LEFT,1.36
